# NOT Spectrum, from Charlotte, reduced
3800.0000000000105,1.017046304632384e-15,1.2204555655588608e-16
3803.3832139968895,1.0577721742982755e-15,1.2693266091579305e-16
3806.76642799378,1.0656639304459004e-15,1.2787967165350805e-16
3810.1496419906703,1.0044584251795592e-15,1.205350110215471e-16
3813.53285598755,9.411623787559465e-16,1.1293948545071357e-16
3816.9160699844397,9.503428698459953e-16,1.1404114438151943e-16
3820.29928398133,1.0228332697396273e-15,1.2273999236875526e-16
3823.68249797822,1.0661537802734175e-15,1.279384536328101e-16
3827.0657119751,1.049571805169357e-15,1.2594861662032285e-16
3830.44892597199,9.984547462188384e-16,1.198145695462606e-16
3833.8321399688793,9.852146332199859e-16,1.182257559863983e-16
3837.21535396577,9.42888741462627e-16,1.1314664897551525e-16
3840.59856796265,9.485037249782289e-16,1.1382044699738747e-16
3843.9817819595396,9.392733851216687e-16,1.1271280621460024e-16
3847.3649959564295,9.448762761975683e-16,1.133851531437082e-16
3850.74820995331,9.346738581056172e-16,1.1216086297267407e-16
3854.1314239502003,9.091322169818983e-16,1.0909586603782779e-16
3857.51463794709,8.7425398424666015e-16,1.0491047810959922e-16
3860.8978519439793,9.043610504975833e-16,1.0852332605970999e-16
3864.28106594086,8.909208908294828e-16,1.0691050689953794e-16
3867.66427993775,8.995403431248847e-16,1.0794484117498616e-16
3871.04749393464,9.605313993465315e-16,1.1526376792158377e-16
3874.4307079315204,9.458469541808326e-16,1.135016345016999e-16
3877.81392192841,9.735814006477296e-16,1.1682976807772754e-16
3881.1971359253002,9.704945431116676e-16,1.1645934517340012e-16
3884.5803499221897,9.57632931264295e-16,1.1491595175171538e-16
3887.9635639190706,9.348874334104614e-16,1.1218649200925537e-16
3891.34677791596,9.911555930662299e-16,1.1893867116794758e-16
3894.7299919128495,1.0054016026745925e-15,1.2064819232095108e-16
3898.1132059097295,9.410424374795373e-16,1.1292509249754446e-16
3901.4964199066203,9.583217585880682e-16,1.1499861103056818e-16
3904.8796339035102,9.892100147119462e-16,1.1870520176543354e-16
3908.2628479003997,9.915781363916644e-16,1.1898937636699973e-16
3911.6460618972797,9.938384805005828e-16,1.1926061766006994e-16
3915.0292758941705,9.825735565045004e-16,1.1790882678054004e-16
3918.41248989106,1.0187674982100816e-15,1.2225209978520977e-16
3921.79570388795,9.991712325572094e-16,1.1990054790686513e-16
3925.17891788483,1.0162400917757694e-15,1.2194881101309233e-16
3928.5621318817207,9.719906187865319e-16,1.1663887425438382e-16
3931.94534587861,9.504618011070753e-16,1.1405541613284904e-16
3935.32855987549,9.432149277508405e-16,1.1318579133010085e-16
3938.7117738723796,9.622190296302793e-16,1.154662835556335e-16
3942.09498786927,9.643677437518011e-16,1.1572412925021614e-16
3945.4782018661604,9.761327470103807e-16,1.171359296412457e-16
3948.8614158630394,1.0118140491223047e-15,1.2141768589467657e-16
3952.24462985993,1.038244856973487e-15,1.2458938283681844e-16
3955.62784385682,1.0392766472892564e-15,1.2471319767471078e-16
3959.0110578537106,1.0407597981896577e-15,1.2489117578275892e-16
3962.3942718505896,9.827980791875086e-16,1.1793576950250102e-16
3965.77748584748,1.004670691994867e-15,1.2056048303938403e-16
3969.16069984437,1.1030897264120614e-15,1.3237076716944737e-16
3972.54391384125,1.1317437416394688e-15,1.3580924899673624e-16
3975.9271278381398,1.0724014152011496e-15,1.2868816982413794e-16
3979.3103418350297,1.0897199323793397e-15,1.3076639188552075e-16
3982.6935558319105,1.0864400539582054e-15,1.3037280647498463e-16
3986.0767698288,1.0607095211472983e-15,1.272851425376758e-16
3989.4599838256895,1.0765115688335797e-15,1.2918138826002957e-16
3992.84319782258,1.0479576076816847e-15,1.2575491292180215e-16
3996.2264118194603,1.0498113646134465e-15,1.2597736375361356e-16
3999.60962581635,1.0836692324738858e-15,1.300403078968663e-16
4002.9928398132397,1.1030983424376982e-15,1.3237180109252378e-16
4006.376053810129,1.0629849040478108e-15,1.275581884857373e-16
4009.75926780701,1.0791529526896797e-15,1.2949835432276157e-16
4013.1424818039,1.1109638532509294e-15,1.3331566239011153e-16
4016.52569580079,1.0961291077038532e-15,1.3153549292446237e-16
4019.9089097976703,1.0583318249917322e-15,1.2699981899900787e-16
4023.2921237945598,1.0832600725965806e-15,1.2999120871158967e-16
4026.67533779145,1.1035416871233933e-15,1.324250024548072e-16
4030.0585517883396,1.0334243453751398e-15,1.2401092144501677e-16
4033.4417657852205,1.0584780250049607e-15,1.2701736300059528e-16
4036.82497978211,1.0613377510014613e-15,1.2736053012017536e-16
4040.2081937790003,1.0895787861128527e-15,1.307494543335423e-16
4043.5914077758794,1.0859603838177195e-15,1.3031524605812633e-16
4046.97462177277,1.023094751196874e-15,1.2277137014362487e-16
4050.35783576966,1.0873772530582276e-15,1.304852703669873e-16
4053.74104976655,1.0547587234380156e-15,1.2657104681256187e-16
4057.1242637634296,1.0411080270161441e-15,1.249329632419373e-16
